timestamp,intervention_id,equipement_id,type_equipement,marque,modele,type_maintenance,severite,vie_restante,prediction_panne,cout_estime,technicien,batiment,salle,zone,description,composants_affectes,historique_pannes,duree_intervention_estimee,pieces_requises
2025-12-03 05:27:06,INT-20251208-008,EQP_5627,Ascenseur,Schneider,MOD-284,preventive,moyenne,57,faible,10122.16,TECH-036,Batiment A,Salle 45,Zone Sud,Maintenance corrective programmée,circuit,6,1,joints
2025-11-26 23:09:00,INT-20251208-009,EQP_4893,Alarme,Carrier,MOD-792,predictive,critique,74,eleve,10824.52,TECH-025,Batiment C,Salle 45,Zone Ouest,Maintenance préventive programmée,compresseur,9,2,roulements
2025-10-11 06:56:42,INT-20251208-010,EQP_7340,Ascenseur,Honeywell,MOD-714,predictive,moyenne,10,moyen,9715.98,TECH-022,Batiment A,Salle 18,Zone Ouest,Maintenance préventive programmée,pompe,7,6,courroies
2025-11-01 19:31:13,INT-20251208-011,EQP_2433,Generateur,Carrier,MOD-817,predictive,moyenne,87,faible,2585.05,TECH-048,Batiment B,Salle 23,Zone Ouest,Maintenance corrective programmée,pompe,6,5,aucune
2025-11-22 15:29:31,INT-20251208-012,EQP_5906,Alarme,Siemens,MOD-457,predictive,faible,75,faible,11782.33,TECH-004,Batiment D,Salle 34,Zone Est,Maintenance corrective programmée,moteur,2,3,courroies
2025-11-07 02:49:50,INT-20251208-013,EQP_2120,Pompe,Carrier,MOD-889,preventive,faible,68,eleve,7639.65,TECH-042,Batiment B,Salle 40,Zone Centrale,Maintenance préventive programmée,circuit,1,7,aucune
2025-12-02 06:31:12,INT-20251208-014,EQP_1565,Generateur,ABB,MOD-321,preventive,critique,59,eleve,775.7,TECH-002,Batiment A,Salle 20,Zone Ouest,Maintenance préventive programmée,circuit,4,2,roulements
2025-11-26 19:44:40,INT-20251208-015,EQP_1263,Pompe,ABB,MOD-315,preventive,critique,70,eleve,3672.1,TECH-046,Batiment C,Salle 18,Zone Ouest,Maintenance corrective programmée,ventilateur,9,7,joints
2025-11-28 05:05:40,INT-20251208-016,EQP_8830,Generateur,Honeywell,MOD-327,preventive,moyenne,66,faible,1298.22,TECH-028,Batiment B,Salle 13,Zone Centrale,Maintenance préventive programmée,moteur,5,6,filtres
2025-10-13 15:23:53,INT-20251208-017,EQP_8009,Eclairage,Honeywell,MOD-912,corrective,critique,53,faible,1317.56,TECH-006,Batiment D,Salle 32,Zone Ouest,Maintenance préventive programmée,ventilateur,9,7,joints
2025-11-17 00:32:38,INT-20251208-018,EQP_9307,Alarme,Daikin,MOD-808,corrective,critique,83,eleve,7184.74,TECH-007,Batiment C,Salle 17,Zone Sud,Maintenance corrective programmée,pompe,3,3,filtres
2025-12-06 06:17:57,INT-20251208-019,EQP_8302,Alarme,Daikin,MOD-171,corrective,critique,69,moyen,14104.7,TECH-025,Batiment C,Salle 40,Zone Sud,Maintenance préventive programmée,moteur,6,7,joints
2025-11-14 15:58:43,INT-20251208-020,EQP_7255,Ascenseur,ABB,MOD-396,preventive,faible,54,faible,10267.87,TECH-030,Batiment A,Salle 9,Zone Ouest,Maintenance corrective programmée,ventilateur,4,7,joints
2025-11-21 00:01:41,INT-20251208-021,EQP_4910,Eclairage,Honeywell,MOD-139,corrective,faible,66,moyen,734.68,TECH-006,Batiment C,Salle 36,Zone Est,Maintenance préventive programmée,pompe,2,3,joints
2025-11-09 05:45:57,INT-20251208-022,EQP_8232,Alarme,Honeywell,MOD-632,predictive,critique,60,moyen,8580.76,TECH-043,Batiment B,Salle 28,Zone Nord,Maintenance corrective programmée,compresseur,6,5,joints
2025-10-12 06:28:08,INT-20251208-023,EQP_6960,CVC,ABB,MOD-832,preventive,faible,48,eleve,1131.12,TECH-034,Batiment A,Salle 28,Zone Est,Maintenance préventive programmée,pompe,7,5,joints
2025-11-11 18:21:58,INT-20251208-024,EQP_5441,CVC,Carrier,MOD-882,preventive,critique,59,eleve,1006.15,TECH-016,Batiment D,Salle 41,Zone Sud,Maintenance préventive programmée,compresseur,5,4,courroies
2025-11-12 05:16:46,INT-20251208-025,EQP_7207,Pompe,Siemens,MOD-789,preventive,faible,40,faible,10221.62,TECH-014,Batiment C,Salle 12,Zone Sud,Maintenance préventive programmée,circuit,4,2,aucune
2025-10-15 20:44:44,INT-20251208-026,EQP_4778,Generateur,Daikin,MOD-281,preventive,faible,74,faible,5440.36,TECH-018,Batiment B,Salle 4,Zone Centrale,Maintenance corrective programmée,moteur,7,3,roulements
2025-12-05 13:26:36,INT-20251208-027,EQP_9095,Ascenseur,ABB,MOD-251,corrective,faible,40,moyen,12677.43,TECH-006,Batiment B,Salle 16,Zone Sud,Maintenance préventive programmée,pompe,5,6,joints
